source,target,dist,street_name
2915565855,2915565856,18.69,Unnamed road
2915565855,2915565857,33.16,Unnamed road
2915565855,2915565854,7.23,Unnamed road
2915565855,9740242461,29.61,Unnamed road
2915565856,2915565859,10.9,Unnamed road
2915565856,2915565855,18.69,Unnamed road
2915565857,2915565862,10.6,Unnamed road
2915565857,2915565855,33.16,Unnamed road
2915565852,2915565851,19.72,Unnamed road
2915565852,2915565853,11.04,Unnamed road
2915565859,2915565860,7.71,Unnamed road
2915565859,2915565856,10.9,Unnamed road
2915565853,2915565852,11.04,Unnamed road
2915565853,2915565858,17.03,Unnamed road
2915565860,2915565861,10.83,Unnamed road
2915565860,2915565859,7.71,Unnamed road
2915565862,9351514740,13.44,Unnamed road
2915565862,2915565857,10.6,Unnamed road
2915565858,2915565853,17.03,Unnamed road
2915565858,2915565861,4.4,Unnamed road
2915565861,2915565858,4.4,Unnamed road
2915565861,2915565860,10.83,Unnamed road
13149533874,13149533875,3.19,Unnamed road
11482693962,11423529886,25.65,Blauwe
11482693962,11482693963,2.23,level 4 <-> 5
11482693963,11423529887,2.23,level 4 <-> 5
11482693963,11482693962,2.23,level 4 <-> 5
11482693964,11482680115,29.1,Blauwe
1364722043,12379242422,4.42,Buurtweg 37
1364722043,1478331512,25.36,Buurtweg 37
1364722046,303760043,11.78,Bertemse Heideweg
1364722046,303760042,21.83,Bertemse Heideweg
1364722048,303760077,16.76,Kleine Reedelle
1364722048,4959145577,4.91,Kleine Reedelle
1364722062,11435244193,17.0,Armenlosweg
1364722062,3319772131,35.83,Armenlosweg
1364722063,12379287016,14.43,Unnamed road
1364722063,12379287015,27.56,Unnamed road
1364722064,11435244262,4.72,Unnamed road
1364722064,12379287018,22.76,Unnamed road
1364722065,1478331514,8.62,Armenlosweg
1364722065,11435244196,14.65,Armenlosweg
611844503,249603974,11.17,Unnamed road
611844503,1501169382,17.42,Unnamed road
1364722072,3319772140,8.45,Unnamed road
1364722072,699051096,4.62,Unnamed road
1364722073,1364722079,93.55,Weygenstraat
1364722073,181298457,49.26,Weygenstraat
1364722075,699051099,23.55,Unnamed road
1364722075,699051098,9.71,Unnamed road
1364722076,181298457,15.28,Weygenstraat
1364722076,1364722077,13.16,Weygenstraat
1364722076,699051101,19.79,Unnamed road
1364722076,11435244119,10.68,Unnamed road
1364722077,1364722076,13.16,Weygenstraat
